title,correctanswer,answer2,answer3,answer4,category
"The ‘Magic Town’ of Tlaxco in Tlaxcala is famous for the productive haciendas, the main thing they do, is a drink that was considered sacred by the aztecs. What’s the drink?", Pulque, Tepache, Tejuino, Tequila,Central  
"In Nanacamilpa, from june to august, visitors can experience something unique. When going at night, there’s a light show produced by a local firefly. In which state can we live this?", Tlaxcala, Puebla, Morelos, Hidalgo,Central 
"This state’s gastronomy has given many of Mexico’s most famous dishes to the world, for example, ‘mole’ and ‘chile en nogada’. What’s the state?", Puebla, Tlaxcala, Jalisco, Michoacan,Central 
"There’s an artistic neighbourhood in the City of Puebla, where local artists gather to show their work, it’s surrounded by restaurants, bars, and museums. What’s the name?", Los Sapos, San Andres, Barrio Barroco, Los Chapulines,Central
"This archeological site in the state of Veracruz is also known as Niche Pyramid, it used to be a sacred city for the totonacs. Nowadays visitors can experience a light show that tells the story of the place . What’s the name of the place?", Tajin, Papantla, Xochicalco, Palenque,Southern
"At this city’s boardwalk you can find the biggest saltwater aquarium in Latin America, visitors can see there many endemic species of the Gulf. In which city can we find this place?", Veracruz, Merida, Acapulco, Villahermosa,Southern
"This city has four iconic neighbourhoods, one for each pre hispanic culture that lived there, totonacs, toltecs, chichimecs and teochichimecs. Which city are we talking about?", Xalapa, Poza Rica, Orizaba, Coatepec,Southern
"What’s the main dish in the ‘Magic Town’ of Xico in Veracruz?  It’s a preparation made with over 24 ingredients. Name it.", Mole xiqueño, Pozole de Xico, Pancita, Enchiladas Xiqueñas, Southern
"‘Arroz a la tumbada’ is a traditional mexican dish made with rice, tomato, onions, bell peppers and a wide range of seafood, which state does it come from?", Veracruz, Tabasco, Yucatan, Chiapas,Southern
"This archeological site in Tabasco has the huge olmec heads, heritage of the first civilization to live in the mexican territory.", La Venta, Monte Alban, Tajín, Coba,Southern
"What’s Tabasco’s most representative animal, they also use it to prepare local dishes.", Pejelagarto (Alligator gar), Cod, Tuna, Jellyfish,Southern
"What’s the only ‘Magic Town’ in Tabasco, known for its waterfalls, and wicker crafts.", Tapijulapa, Villahermosa, Villa Luz, Tacotalpa,Southern
"Every year there’s a Chocolate Festival in this Tabasco city, it’s full of music, food, and a different invited country.", Villahermosa, Tacotalpa, Tapijulapa, La Venta,Southern
"This archeological site in Chiapas is also called ‘The mesoamerican Sistine Chapel’ due to the pictorial work visitors can find in the inside. What’s the place?", Bonampak, Palenque, Coba, Ek Balam,Southern
"Chiapas artisans are masters when it comes to a particular craft, jewelry made with a precious stone, which one?", Amber stone, Rubies, Quarz, Jade,Southern
"This place is ideal for buying local crafts, such as ceramics, textiles and jewelry. It’s called ‘Plaza del Artesano’ and it’s located in a ‘Magic Town’ in Chiapas. Which one?", Palenque, San Cristobal de las Casas, Chiapa de Corzo, Comitan,Southern
"These lagoons in Chiapas are one of the most beautiful landscapes in Mexico, they’re located near the border with Guatemala and they’re a wonderful place for observing local birds. What’s their name?", Montebello lagoons, Bacalar lagoon, El Chiflon, Chapala lagoon,Southern
"This is the most representative national park in Chiapas, visitors get there from the ‘Magic Town’ of Chiapa de Corzo, the tour takes visitors into the local ecosystem, the tour is made by boat. What’s the name of this place?", Cañon del Sumidero, El Chiflon, Palenque, Comitan,Southern
"This ‘Magic Town’ in Chiapas is known for its indigenous people,’ tzetzals’ and ‘tzotzils’ live their and produce beautiful textiles for a living. It’s also a town full of nightlife and cultural activities. What’s the place?", San Cristobal de las Casas, Chiapa de Corzo, Tuxtla Gutierrez, Comitan,Southern
"‘Pan de Cazon’ is the most representative dish from which mexican state? It’s a delicious dish made with dogfish, tortilla, beans, tomatoes and habanero chilli.", Campeche, Yucatan, Quintana Roo, Chiapas,Southern
"This ancient mayan city a hidden gem, located in the middle of the jungle, it belongs to the state of Campeche, what’s the name?", Calakmul, Palenque, Uxmal, Edzna, Southern
"In which archeological site can visitors observe a snake coming down the pyramid during the spring equinox? It’s a temple dedicated to Kukulkan, a mayan God.", Chichen Itza, Uxmal, Dzibilchaltun, Edzna, Southern
"This ‘Magic Town’ is located only 65 km away from Merida, Yucatan’s capital city. It has a particular characteristic, the whole town is painted with the same joyful color, yellow. What’s the name?", Izamal, Valladolid, Tunkas, Chiquila,Southern
"This ‘Magic Town’ in Yucatan is the ideal place for visitors that want to discover ‘cenotes’ (groundwaters),  Kcheken and Samula are really close. Ek Balam, an archeological site can also be visited from here. What’s the town?", Valladolid, Merida, Izamal, Telchac,Southern
"‘Rio Lagartos’ in Yucatan has a wonderful place in the site, during a certain period of the year, water in the lagoon turns into pink. It’s an ideal place for biodiversity observation. What’s the name?", Las Coloradas, Celestun, Valladolid, Izamal,Southern
"This island belongs to Quintana Roo and it's the best place to swim with whale sharks, when they come visit the mexican coast. Name the island.", Holbox, Isla Mujeres, Cozumel, Chetumal,Southern
"This ‘Magic Town’ in Quintana Roo has a beautiful lagoon in which visitors are able to swim and travel around while discovering the different blue tones. Name the place.", Bacalar, Tulum, Akumal, Cancun,Southern
"This archeological site in Quintana Roo has a particular characteristic. It’s located right next to the beautiful caribbean beaches. It’s also a ‘Magic Town’ famous for it’s bohemian environment. Name it.", Tulum, Akumal, Sayulita, Isla Mujeres,Southern
"This island is also a ‘Magic Town’, it belongs to Quintana Roo and it’s an ideal place for snorkeling and scuba diving. There’s even a submarine museum. Name the place.", Isla Mujeres, Tulum, Holbox, Akumal,Southern
"This city in Sinaloa is considered ‘The shrimp capital’ due to the wide range of dishes cooked with this ingredient. Name the place.", Mazatlan, Cosala, Culiacan, Los Mochis,Pacific
"This ‘Magic Town’ in Sinaloa is famous for its ghost stories. Name the place.", Cosala, Los Mochis, Creel, Real de Catorce,Pacific
"This beach town in Nayarit is known for its bohemian environment, as well as the surfing activities. Nowadays it’s considered a ‘Magic Town’. Name it.", Sayulita, Jala, San Pancho, Tepic,Pacific
"In which state can you visit the Marieta Islands, and the hidden beach, a snorkeling paradise.", Nayarit, Jalisco, Michoacan, Oaxaca,Pacific
"‘Sopitos’ are a traditional snack made with corn dough and a wide variety of toppings. Where are they from?", Colima, Nayarit, Oaxaca, Jalisco,Pacific
"What’s the name of Colima’s traditional drink. It’s a refreshing mixture of palm extract, fermented coconut, and peanuts.", Tuba, Tejuino, Pulque, Tepache,Pacific
"Manzanillo, in Colima is famous for having beautiful settings for a certain sport, can you guess which one?", Golf, Tennis, Lacrosse, Football,Pacific
"There’s a ‘Magic Town’ famous for having the same name as Mexico’s most popular alcoholic drink, Tequila. Visitors can travel around the agave fields, learn all about the fabrication process and of course, do some tastings. In which state is it located?", Jalisco, Michoacan, Zacatecas, Oaxaca,Pacific
"This ‘Magic Town’ in Jalisco is a part of the UNESCO World Heritage list. It’s famous for its baroque churches, regional museums and haciendas. It’s located in the Highland region. Can you name the place?", Lagos de Moreno, Mascota, Tapalpa, Mazamitla,Pacific
"This ‘Magic Town’ in Jalisco is the ideal place to get away from the city. It’s a quiet town surrounded by the forest. Visitors can go horseback riding, cycling or go paragliding, (among other activities). Name the place.", Tapalpa, Mascota, Tequila,San Sebastian del Oeste,Pacific 
"‘Guachimontones’ is an archeological site that has a particular characteristic, the round-shaped pyramids. It’s located only one hour away from the state’s capital, Guadalajara. What’s the state’s name?", Jalisco, Michoacan, Guerrero, Sinaloa,Pacific
"This ‘Magic Town’ in Michoacan is famous for being a reserve for Monarca butterflies, an emblematic species that comes to Mexico year after year. Visitors can travel around the sanctuary and go trekking. Name the place.", Angangueo, Cuitzeo, Patzcuaro, Santa Clara del Cobre,Pacific
"This state’s gastronomy is one of the most awarded ones in Mexico. The most famous dishes are; ‘corundas’ (small tamales), tarasca soup, and ‘carnitas’ (fried pork meat). Can you guess the state?", Michoacan, Jalisco, Oaxaca, Nayarit,Pacific
"This ‘Magic Town’ in Michoacán is famous for its lagoons, and the beautiful ‘Dia de Muertos’ (day of the death) festivities. What’s the place?", Patzcuaro, Tacambaro, Jiquilpan,Tzintzuntzan,Pacific
"What’s Guerrero’s only ‘Magic Town’? It’s famous for its silver production and white houses.", Taxco, Iguala, Acapulco, Ixtapa,Pacific
"Where is ‘La Quebrada’ located? A cliff from where professional divers jump directly into the Pacific Ocean.", Acapulco, Ixtapa, Taxco, Huatulco,Pacific
"This ‘Magic Town’ in Guerrero has the Viceroyship Art Museum, and the famous Santa Prisca church, year after year there are religious events here during Easter. Name the place.", Taxco, Iguala, Acapulco, Ixtapa,Pacific
"‘Pozole’ is a traditional mexican dish made with broth, pork meat and corn. This dish can have many colors depending on the state in which you eat it. What color is pozole in Guerrero?", White, Red, Green, Yellow,Pacific
"‘Guelaguetza’ is a traditional cultural party in Mexico. In which state does it happen?", Oaxaca, Guerrero, Michoacan, Colima,Pacific
"Black mud crafts are typical from which state? Artisans make all sorts of things with this.", Oaxaca, Jalisco, Colima, Nayarit,Pacific
"What insect is used in the oaxacan gastronomy? It’s a great protein source.", Grasshoppers, Scorpions, Spiders, Mosquitoes,Pacific
"This beach town in Oaxaca is also a ‘Magic Town’ famous for the olive ridley turtle, who leaves eggs here during a certain period of the year. It’s a sustainable and ecological destination. Name it.", Mazunte, Sayulita, Zipolite, Puerto Escondido,Pacific
"This ‘Magic Town’ in Oaxaca has an iconic archeological site whose name means Death’s place. Can you guess the place?", San Pablo Villa de Mitla, Monte Alban, San Pedro Teposcolula, Huautla,Pacific
"The mexican turtle center is located in this beach destination. There’s also a crocodile sanctuary and an ideal place for surfing. Name the place.", Mazunte, Huatulco, San Pablo Teposcolula, Capulalpam,Pacific
"This ‘Magic Town’ in Oaxaca offers all sorts of traditional medicine and curative experiences. It’s also famous for the beautiful landscapes, specially from Loma de Chapultepec viewpoint. Name the place.", Huautla de Jimenez, Mazunte, Puerto Escondido, Zipolite,Pacific
"What does Mexico means?", In the center of the moon, Spicy land, Eagle’s land, In the center of the sun,General
"What’s the mexican city that has more museums?", Mexico City with over 170, Guadalajara with over 200, Monterrey with over 70, Puebla with over 250,General
"Guess the state. It’s the place where Caesar Salad was born. In its territory visitors can travel around the wine route. This state has a panoramic highway from which people can drive next to the pacific ocean.", Baja California, Oaxaca, Guerrero, Jalisco,General
"Guess the state. It is the state that has the Desert Museum, and inside of it, the fossils of different dinosaur species that inhabited the Earth. It has an area of high wine production and also has a landscape of dunes in the desert.", Coahuila, Sonora, Nuevo Leon, Zacatecas,General
"Guess the state. The capital city of this state is known for its romantic and musical alleys. It was an essential state in the independence war and it hosts one of the most acclaimed cultural festivals in the country year after year, the ‘Cervantino’.", Guanajuato, Jalisco, Hidalgo, Tamaulipas,General
"Guess the state. This is the place where football in Mexico was born, it’s a mining territory and the most famous snacks is a traditional paste.", Hidalgo,Zacatecas, Durango, Oaxaca,General
"Guess the state. It’s capital city is one of Mexico’s most developed metropolis. ‘Cabrito’ (baby goat) is the typical dish. The state also has natural beauty, for example, waterfalls.", Nuevo Leon, Guerrero, Puebla, State of Mexico,General 
"Guess the state. It has a gastronomic event where the star is ‘mole’, a traditional dish. The typical crafts ‘alebrijes’ and ‘barro negro’ (black clay) are made here.", Oaxaca, Guerrero, Sinaloa, Durango,General
"Guess the state. Inside this state there’s an archaeological site where the base of the pyramid is the largest in the whole world. ‘Chile en Nogada’ dish was created here.", Puebla, Tlaxcala, Hidalgo, Baja California,General
"Guess the state. This state has a cheese and wine fair that attracts visitors year after year. It was an important place during the independence war. It has one of the largest monoliths in the world where you can also taste delicious ‘gorditas’, a mexican snack.", Queretaro, Jalisco, Puebla, Yucatan,General
"Guess the state. This state has the most popular beach destination in Mexico, Cancun. It’s a place full of mayan culture. It has a beautiful lagoon in which visitors can see seven different types of blue.", Quintana Roo, Guerrero, Tabasco, Colima,General
"Guess the state. It has a surreal garden in the middle of its green areas, spectacular waterfalls and even a place in the middle of the mountain where only birds dare to enter.", San Luis Potosi, Durango, Sinaloa, Aguascalientes,General
"Guess the state. It has one of the most famous carnivals in Mexico, it’s a place full of seafood and visitors can travel around the train ‘Chepe’, from here.", Sinaloa, Michoacan, San Luis Potosi, Nuevo Leon,General
"Guess the state. The most representative dance of this state is the ‘deer dance’. It’s a place full of desert landscapes, and one of its typical desserts are the ‘coyotas’", Sonora, Campeche, Nuevo Leon, Tamaulipas,General
"Guess the state. This state is known as ‘La Cuna del Cacao’, (the place where cacao was born). It’s a swampy territory where species like pejelagartos (alligator gar) live. It was the home of the first pre-Hispanic civilization of Mexico, olmecs.", Tabasco, Colima, Puebla, Baja California,General
"Guess the state. State that hosts the ‘Huamantlada’, its name means place of tortillas. Recently, a themed park opened here, the theme? Italian Tuscany.", Tlaxcala, Campeche, Guanajuato, Veracruz,General
"Guess the state. It has the highest mountain in Mexico, it’s a port with many historical antecedents, the state is famous for its coffee production.", Veracruz, Quintana Roo, Aguascalientes, Sinaloa,General
"Guess the state. In its golden age the economy was based on henequen, today there are huge haciendas in its territory, this state is full of ‘cenotes’ and archaeological ruins.", Yucatan, Guanajuato, Nuevo Leon, Zacatecas,General
"Guess the state. This mining state extracted silver, today the mines are touristic, and there are even night centers inside. It’s also famous for its art museums. ‘Asado de boda’ is the most popular dish.", Zacatecas, Aguascalientes, Queretaro, Guanajuato,General
"Guess the state. This state has a dam very famous for its water sports and for being a weekend destination, Valle de Bravo. It also contains an extremely characteristic and mysterious archaeological site of Mexico, Malinalco, and an inactive volcano to which you can climb and observe the landscape from above.", State of Mexico, Morelos, Yucatán, Chiapas,General
"What is the only monarchic castle in Latin America, and in what city is it located?", Chapultepec Castle in Mexico City, Sun’s castle in Guanajuato, Chichen Itza in Merida, Royal castle in Guadalajara,General
"What’s a ‘Temazcal’?", Pre Hispanic bathing and sauna place, A traditional mexican dish, A pre hispanic drink, A town in Central Yucatan,General
"The traditional dish ‘Chile en Nogada’ has the same colours as…", The mexican flag, The national emblem, The traditional sarape, The charro costume,General
"What’s the non-mexican dish?", Chilli con carne, Pozole, Huarache, Mole,General
"What’s the main ingredient in mexican cuisine?", Corn, Beans, Rice, Tomatoes,General
